NAC image,http://lroc.sese.asu.edu/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0032/DATA/ESM3/2017246/NAC/M1259058367LE.IMG,,,,
,,,,,
Crater name,Zi Wei,,,,
Crater diameter,450 <m>,,,,
,,,,,
Crater center,LAT,LON,,,
,44.12,-19.53,,,
,,,,,
Total count area ,2.9 <km^2>,,,,
,,,,,
BOULDER_DIAM_km,BOULDER_DIAM_m,LON,LAT,DISTANCE_m,DISTANCE_CRATER_RADII
0.003273262,3.273262477,-19.50984534,44.14939348,993.1632954,3.414059091
0.00222263,2.222629935,-19.50527185,44.149974,1056.042311,3.693521381
0.002155634,2.155634452,-19.5091706,44.14770433,954.3733927,3.241659523
0.002571358,2.571357547,-19.51376834,44.15011639,978.9452331,3.350867703
0.004550343,4.550343272,-19.51437594,44.14945216,955.4087961,3.246261316
0.002919894,2.919893586,-19.51423362,44.14985899,968.0380183,3.302391192
0.002056557,2.056556522,-19.56698669,44.15041761,1223.926803,4.43967468
0.002102549,2.1025491,-19.56764774,44.15054435,1236.306469,4.494695418
0.00287131,2.871309751,-19.60258858,44.14502078,1752.15904,6.787373513
0.003281657,3.28165681,-19.50939952,44.14673184,926.1137589,3.11606115
0.002853436,2.853435559,-19.51007915,44.14703227,927.0883557,3.120392692
0.002898503,2.898503264,-19.51126859,44.14693526,912.6417841,3.056185707
0.001872813,1.872813371,-19.51232656,44.146325,885.8949033,2.937310681
0.002951821,2.951820696,-19.50921028,44.14621234,914.3948587,3.06397715
0.003058712,3.058711868,-19.51036351,44.14685076,919.3361243,3.08593833
0.002266651,2.266651335,-19.51076775,44.14661605,908.9593287,3.039819239
0.002632267,2.632266883,-19.50903841,44.14562243,900.7850868,3.003489274
0.002442378,2.44237753,-19.51024421,44.14646818,910.3059092,3.045804041
0.002870279,2.870279084,-19.50858823,44.14572101,908.3483203,3.037103646
0.003813025,3.813024838,-19.50767803,44.14685154,947.9262581,3.213005591
0.002444415,2.444414818,-19.50820121,44.14575387,913.5473902,3.060210623
0.00376325,3.763250073,-19.50597168,44.14687423,968.0540095,3.302462264
0.005719405,5.719404572,-19.50445968,44.14713476,992.7452009,3.412200893
0.002908024,2.908024235,-19.50338653,44.14587983,975.1418843,3.33396393
0.004992123,4.992122684,-19.50400639,44.14740468,1005.052722,3.466900989
0.003211708,3.211707986,-19.50393209,44.14726307,1002.421027,3.455204565
0.00185114,1.851140019,-19.50380427,44.14702758,998.1289522,3.436128676
0.003521751,3.521750738,-19.50592572,44.14672323,964.747505,3.287766689
0.003118619,3.118619462,-19.5039313,44.14652842,984.1500455,3.374000202
0.003350695,3.350695471,-19.50330235,44.1466849,995.9495666,3.426442518
0.002560612,2.560611955,-19.50314897,44.14702523,1006.28133,3.472361468
0.003343491,3.343490872,-19.50226287,44.14631405,1000.321332,3.445872587
0.00286801,2.868010128,-19.50258144,44.14649869,1000.642353,3.447299347
0.002847748,2.847747789,-19.50122007,44.14587592,1003.759383,3.461152815
0.00302685,3.0268502,-19.5021743,44.14711207,1020.858924,3.537150774
0.002534931,2.534930731,-19.50260056,44.1470487,1013.831373,3.505917211
0.008662208,8.662207891,-19.49581053,44.14650886,1095.113502,3.86717112
0.002690384,2.690384396,-19.4994966,44.14511389,1010.049593,3.489109302
0.001958046,1.958046191,-19.49668997,44.14490264,1046.559826,3.651377003
0.002603246,2.603245829,-19.49772015,44.14475086,1027.7991,3.567995999
0.002661369,2.66136884,-19.49535113,44.14495037,1067.966074,3.746515886
0.002260515,2.260514958,-19.49698918,44.14539085,1052.831674,3.679251886
0.001994544,1.99454401,-19.49730529,44.14530479,1046.237002,3.649942233
0.002516745,2.51674534,-19.49590786,44.14451693,1050.109692,3.667154185
0.002269743,2.269743168,-19.49579976,44.1443409,1048.008932,3.657817476
0.002287918,2.287918296,-19.49539441,44.14692039,1110.419438,3.935197504
0.002338413,2.338413257,-19.50059244,44.14519212,996.3601971,3.428267543
0.004478972,4.478971869,-19.49453531,44.14464759,1074.166757,3.774074477
0.002267202,2.267202358,-19.49519912,44.14445669,1059.781665,3.710140732
0.001997142,1.997142004,-19.49432968,44.14512327,1087.434709,3.833043149
0.002452172,2.452171934,-19.4977079,44.14448407,1022.093608,3.542638256
0.004306683,4.306683358,-19.49369935,44.14736635,1145.50423,4.091129911
0.002931967,2.931966865,-19.49165423,44.14653624,1159.025794,4.151225749
0.002481031,2.481030873,-19.4941459,44.14564747,1101.450114,3.895333839
0.002061195,2.061195138,-19.491818,44.14678426,1161.704992,4.163133296
0.002196448,2.196447869,-19.45950208,44.14469532,1706.918569,6.586304751
0.0028034,2.803399531,-19.45673325,44.1465026,1785.216946,6.934297539
0.001648688,1.648687733,-19.45551963,44.14619904,1804.771808,7.021208034
0.001707371,1.707370755,-19.45681444,44.1444473,1756.47789,6.806568401
