PDS_VERSION_ID                = PDS3                                          
                                                                              
RECORD_TYPE                   = FIXED_LENGTH                                  
RECORD_BYTES                  = 80                                            
FILE_RECORDS                  = 809                                           
LABEL_RECORDS                 = 42                                            
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,3(1X,F11.8))"  
^TABLE                        = 44                                            
PRODUCT_ID                    = "ACCELEROMETER_DATA_P164"                     
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                           
INSTRUMENT_NAME               = "ACCELEROMETER"                               
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                
TARGET_NAME                   = MARS                                          
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:47.31                        
START_TIME                    = 2001-12-24T22:54:16.00Z                       
STOP_TIME                     = 2001-12-24T23:07:01.00Z                       
                                                                              
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                      
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                      
                                                                              
OBJECT                        = TABLE                                         
 ROWS                         = 766                                           
 ROW_BYTES                    = 80                                            
 INTERCHANGE_FORMAT           = ASCII                                         
 COLUMNS                      = 4                                             
 ^STRUCTURE                   = "ACCEL.FMT"                                   
 DESCRIPTION                  = "                                             
  The data in this file are the 1 second accelerometer data from Mars Odyssey 
  for orbit 164 of aerobraking at Mars.  The data comes from telemetry file   
  p164_accel_raw1_1hz.drf which is converted from a higher sample rate        
  to 1 second acceleration by the GDS. The sample rate changed twice during   
  the mission (TOLSONETAL2005) which changed the noise level on the 1 sec data
  The data is also adjusted for angular motion due to the offset              
  of the IMU from the center of mass and interpolated to the same time stamps 
  as the rate and quaternion data.                                            
                                                                              
  Robert H. Tolson                                                            
  03-Nov-2007                                                                 
  "                                                                           
                                                                              
END_OBJECT                    = TABLE                                         
END                                                                           
                                                                              
2001-358T22:56:02.000 -0.00091749  0.00024682  0.00020346                     
2001-358T22:56:03.000 -0.00004911 -0.00051616 -0.00005020                     
2001-358T22:56:04.000  0.00074587  0.00007352 -0.00025550                     
2001-358T22:56:05.000  0.00006629  0.00015476 -0.00101106                     
2001-358T22:56:06.000  0.00021138  0.00044654 -0.00087350                     
2001-358T22:56:07.000 -0.00047802  0.00013676  0.00049323                     
2001-358T22:56:08.000  0.00019734 -0.00009627  0.00141430                     
2001-358T22:56:09.000  0.00007754 -0.00058774  0.00056541                     
2001-358T22:56:10.000  0.00022854  0.00006717  0.00002106                     
2001-358T22:56:11.000  0.00006086  0.00047915  0.00002230                     
2001-358T22:56:12.000 -0.00008354  0.00091730  0.00022449                     
2001-358T22:56:13.000 -0.00005630  0.00030623 -0.00019650                     
2001-358T22:56:14.000  0.00054126 -0.00036124 -0.00074715                     
2001-358T22:56:15.000  0.00044889  0.00000607 -0.00076586                     
2001-358T22:56:16.000 -0.00009476  0.00028681 -0.00041892                     
2001-358T22:56:17.000  0.00033475  0.00078672 -0.00011729                     
2001-358T22:56:18.000 -0.00014480  0.00061546 -0.00103150                     
2001-358T22:56:19.000  0.00029965  0.00018306 -0.00142123                     
2001-358T22:56:20.000  0.00018083 -0.00027155 -0.00090568                     
2001-358T22:56:21.000  0.00000092  0.00029683  0.00009694                     
2001-358T22:56:22.000 -0.00107500  0.00029161  0.00065888                     
2001-358T22:56:23.000 -0.00061644  0.00061750  0.00009555                     
2001-358T22:56:24.000  0.00005111 -0.00019999 -0.00005515                     
2001-358T22:56:25.000  0.00049381 -0.00053285 -0.00007624                     
2001-358T22:56:26.000  0.00021061  0.00006194  0.00021105                     
2001-358T22:56:27.000 -0.00027723  0.00028198  0.00035446                     
2001-358T22:56:28.000 -0.00023699  0.00064748  0.00020514                     
2001-358T22:56:29.000  0.00007602 -0.00013754 -0.00023760                     
2001-358T22:56:30.000  0.00048683 -0.00054384  0.00000518                     
2001-358T22:56:31.000 -0.00009387 -0.00053419  0.00041401                     
2001-358T22:56:32.000  0.00017168  0.00064232  0.00058324                     
2001-358T22:56:33.000 -0.00038680  0.00060917  0.00025801                     
2001-358T22:56:34.000 -0.00012049  0.00037321 -0.00057242                     
2001-358T22:56:35.000  0.00022346  0.00022534 -0.00060489                     
2001-358T22:56:36.000  0.00016430 -0.00017644 -0.00023347                     
2001-358T22:56:37.000  0.00031862  0.00008998  0.00016201                     
2001-358T22:56:38.000 -0.00029348  0.00005351 -0.00017601                     
2001-358T22:56:39.000 -0.00026814  0.00068533  0.00025228                     
2001-358T22:56:40.000 -0.00094139  0.00018310 -0.00012612                     
2001-358T22:56:41.000 -0.00007970 -0.00008405 -0.00053358                     
2001-358T22:56:42.000  0.00050381 -0.00024639  0.00042639                     
2001-358T22:56:43.000  0.00020939 -0.00015241  0.00030695                     
2001-358T22:56:44.000  0.00002933  0.00049631 -0.00038832                     
2001-358T22:56:45.000 -0.00066834  0.00021472 -0.00049297                     
2001-358T22:56:46.000 -0.00043167  0.00108450 -0.00000392                     
2001-358T22:56:47.000 -0.00032379  0.00073980 -0.00013901                     
