frame,site,drive,pose,min_sclk,max_sclk,approx_min_sclk,approx_max_sclk,steer_LF,steer_LR,steer_RF,steer_RR,drive_LF,drive_LM,drive_LR,drive_RF,drive_RM,drive_RR
INMOTION,3,792,72,669432184,669525407,669432184,669525407,0,4.26106e-05,0,0.000213053,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,828,6,669525737,669611061,669525737,669611061,8.52212e-05,0,-8.52212e-05,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,828,34,669613021,669613134,669613021,669613134,8.52212e-05,0,-8.52212e-05,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,828,38,669679567,669694260,669615361,669694260,8.52212e-05,0,-8.52212e-05,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,834,2,669694428,669697145,669694428,669697145,8.52212e-05,0.000170442,-8.52212e-05,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1008,2,669698106,669698161,669698106,669698161,0.000298274,-4.26106e-05,-0.000255663,-0.000340885,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1044,10,669700979,669785848,669700979,669785848,8.52212e-05,0,-4.26106e-05,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1230,2,669786807,669786853,669786807,669786853,4.26106e-05,-4.26106e-05,-0.000255663,0.000170442,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1266,6,669787048,669869805,669787048,669869805,8.52212e-05,-8.52212e-05,-0.000170442,-0.000894822,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1374,10,669876756,669960870,669876756,669960870,4.26106e-05,-4.26106e-05,0.00102265,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,6,669961067,670053060,669961067,670053060,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,34,670055019,670055129,670055019,670055129,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,38,670054556.162018,670140198,670054556.162018,670140198,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,66,670143797,670143907,670143797,670143907,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,70,670143332.055258,670230892,670143332.055258,670230892,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,98,670232516,670232626,670232516,670232626,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,102,670232279.352066,670318487,670232279.352066,670318487,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,130,670320169,670320283,670320169,670320283,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,134,670319933.273851,670408649,670319933.273851,670408649,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,162,670410125,670410236,670410125,670410236,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1392,166,670409995.306889,670763676,670409995.306889,670763676,4.26106e-05,4.26106e-05,0.00102265,-0.00102265,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1398,2,670763985,670850035,670763985,670850035,4.26106e-05,0,0.000170442,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
INMOTION,3,1416,6,670850198,670931331,670850198,670931331,4.26106e-05,-0.000298274,0,4.26106e-05,-9999,-9999,-9999,-9999,-9999,-9999
